Symbol,Date,Open,High,Low,Close,Volume
VVL.TO,27-Apr-2018,35.48,35.48,35.37,35.37,413
VVO.TO,27-Apr-2018,29.72,29.72,29.72,29.72,0
VXC.TO,27-Apr-2018,36.42,36.52,36.34,36.46,8654
VXM.TO,27-Apr-2018,27.1,27.1,27.1,27.1,0
VXM.B.TO,27-Apr-2018,29.97,29.97,29.97,29.97,196
W.PR.H.TO,27-Apr-2018,24.59,24.59,24.59,24.59,0
W.PR.J.TO,27-Apr-2018,24.6,24.6,24.51,24.51,1100
W.PR.K.TO,27-Apr-2018,25.6,25.6,25.53,25.53,1400
W.PR.M.TO,27-Apr-2018,25.48,25.54,25.34,25.35,3400
WCN.TO,27-Apr-2018,94.25,95.06,94,94.21,61027
WCP.TO,27-Apr-2018,9.43,9.59,9.31,9.35,1037000
WDO.TO,27-Apr-2018,1.91,1.92,1.9,1.91,88900
WEED.TO,27-Apr-2018,27.46,27.49,27,27.34,1142554
WEF.TO,27-Apr-2018,2.86,2.86,2.79,2.8,286058
WEQ.TO,27-Apr-2018,1.5,1.54,1.5,1.53,3445
WFS.TO,27-Apr-2018,3.9,3.9,3.9,3.9,0
WFS.PR.A.TO,27-Apr-2018,10.09,10.09,10.09,10.09,0
WFT.TO,27-Apr-2018,90.5,90.5,85.35,87.22,252133
WIR.U.TO,27-Apr-2018,12.84,12.88,12.83,12.85,7365
WJA.TO,27-Apr-2018,22.42,23.19,22.42,23.1,248050
WJX.TO,27-Apr-2018,23.5,23.5,23.3,23.3,4377
WM.TO,27-Apr-2018,0.07,0.07,0.07,0.07,17300
WN.TO,27-Apr-2018,105.41,106.25,105.41,105.91,15661
WN.PR.A.TO,27-Apr-2018,25.45,25.45,25.36,25.36,800
WN.PR.C.TO,27-Apr-2018,23.6,23.6,23.6,23.6,561
WN.PR.D.TO,27-Apr-2018,23.76,23.76,23.76,23.76,0
WN.PR.E.TO,27-Apr-2018,22.31,22.31,22.31,22.31,200
WPK.TO,27-Apr-2018,48.45,49,47.63,47.91,86559
WPM.TO,27-Apr-2018,27.4,27.49,27.22,27.38,171676
WPRT.TO,27-Apr-2018,2.85,3.07,2.84,3.02,117742
WRG.TO,27-Apr-2018,1.14,1.15,1.12,1.15,48600
WRN.TO,27-Apr-2018,1.07,1.07,1.06,1.06,1501
WRX.TO,27-Apr-2018,0.43,0.43,0.43,0.43,0
WSP.TO,27-Apr-2018,62.75,63.94,62.75,63.41,186513
WTE.TO,27-Apr-2018,22.42,22.42,22.23,22.27,82383
WXM.TO,27-Apr-2018,17.21,17.23,17.2,17.2,5200
X.TO,27-Apr-2018,77.95,79.38,77.95,79.38,30748
XAU.TO,27-Apr-2018,3.38,3.4,3.34,3.37,24902
XAW.TO,27-Apr-2018,25.58,25.58,25.44,25.54,12658
XBB.TO,27-Apr-2018,30.38,30.42,30.36,30.39,23250
XBM.TO,27-Apr-2018,14.01,14.12,14.01,14.1,8244
XCB.TO,27-Apr-2018,20.83,20.86,20.83,20.83,15002
XCD.TO,27-Apr-2018,35.5,35.5,35.5,35.5,500
XCG.TO,27-Apr-2018,29.72,29.72,29.72,29.72,1102
XCH.TO,27-Apr-2018,28.99,29.02,28.85,29.02,555
XCS.TO,27-Apr-2018,16.33,16.33,16.32,16.32,1425
XCV.TO,27-Apr-2018,26.28,26.28,26.28,26.28,1645
XDC.TO,27-Apr-2018,1.96,1.96,1.96,1.96,0
XDG.TO,27-Apr-2018,19.74,19.74,19.69,19.7,7041
XDGH.TO,27-Apr-2018,20.2,20.2,20.2,20.2,0
XDIV.TO,27-Apr-2018,20.18,20.18,20.15,20.15,5849
XDU.TO,27-Apr-2018,20.15,20.15,20.15,20.15,0
XDUH.TO,27-Apr-2018,20.68,20.68,20.68,20.68,0
XDV.TO,27-Apr-2018,24.69,24.71,24.64,24.71,29920
XEB.TO,27-Apr-2018,20.65,20.65,20.65,20.65,600
XEC.TO,27-Apr-2018,28.62,28.62,28.44,28.55,14716
XEF.TO,27-Apr-2018,31.79,31.8,31.66,31.76,15425
